web-scraper-order,web-scraper-start-url,pdf,pdf-href
"1774857677-78","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459016023024/tsla-10q_20160630.htm"
"1774857677-79","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q1_2016_Tesla_Shareholder_Letter"
"1774857677-80","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459016018886/tsla-10q_20160331.htm"
"1774857677-81","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q4_15_Tesla_Update_Letter"
"1774857677-82","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data//1318605/000156459016013195/tsla-10k_20151231.htm"
"1774857677-83","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q3_15_Shareholder_Letter"
"1774857677-84","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459015009741/tsla-10q_20150930.htm"
"1774857677-85","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Tesla_Q2_2015_Shareholder_Letter"
"1774857677-86","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459015006666/tsla-10q_20150630.htm"
"1774857677-87","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Tesla_Motors_Q1_15_Shareholder_Letter"
"1774857677-88","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000156459015003789/tsla-10q_20150331.htm"
"1774857677-89","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q4_14_Shareholder_Letter_Final"
"1774857677-90","https://ir.tesla.com/#quarterly-disclosure","10-K","https://www.sec.gov/Archives/edgar/data//1318605/000156459015001031/tsla-10k_20141231.htm"
"1774857677-91","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Q314_SHL_Final"
"1774857677-92","https://ir.tesla.com/#quarterly-disclosure","10-Q","https://www.sec.gov/Archives/edgar/data//1318605/000119312514403635/d812482d10q.htm"
"1774857677-93","https://ir.tesla.com/#quarterly-disclosure","Download","https://digitalassets.tesla.com/tesla-contents/image/upload/IR/Tesla_Q2_14_Shareholder_Letter"
