stock_locate,tracking_number,timestamp,mpid,primary_market_maker,market_maker_mode,market_participant_state
1784,0,0 days 03:07:16.572197407,CDRG,1,N,A
6434,0,0 days 03:07:16.572211071,COWN,1,N,A
6950,0,0 days 03:07:16.572225182,CDRG,1,N,A
3915,0,0 days 03:07:16.572239565,ETMM,1,N,A
8779,0,0 days 03:07:16.572252948,ETMM,1,N,A
7247,0,0 days 03:07:16.572267248,ETMM,1,N,A
2575,0,0 days 03:07:16.572281174,GTSM,1,N,A
7402,0,0 days 03:07:16.572295086,NITE,1,N,A
2459,0,0 days 03:07:16.572309133,MSCO,1,N,A
4007,0,0 days 03:07:16.572322505,SOHO,1,N,A
6585,0,0 days 03:07:16.572336664,VALX,1,N,A
4009,0,0 days 03:07:16.572350234,BKCM,1,N,A
1291,0,0 days 03:07:16.572365016,CDRG,1,N,A
6187,0,0 days 03:07:16.572378941,CANT,1,N,A
5960,0,0 days 03:07:16.572394311,CANT,1,N,A
23,0,0 days 03:07:16.572408616,CDRG,1,N,A
6135,0,0 days 03:07:16.572422604,CSTI,1,N,A
8763,0,0 days 03:07:16.572436646,PIPR,1,N,A
7146,0,0 days 03:07:16.572450741,SUFI,1,N,A
3839,0,0 days 03:07:16.572464740,UBSS,1,N,A
789,0,0 days 03:07:16.572479169,VALX,1,N,A
7411,0,0 days 03:07:16.572492368,WSEA,1,N,A
5226,0,0 days 03:07:16.572505902,ADAM,1,N,A
3482,0,0 days 03:07:16.572519951,NITE,1,N,A
2547,0,0 days 03:07:16.572533652,NITE,1,N,A
1582,0,0 days 03:07:16.572547709,NITE,1,N,A
8622,0,0 days 03:07:16.572561674,OHOS,1,N,A
3853,0,0 days 03:07:16.572575482,NITE,1,N,A
406,0,0 days 03:07:16.572590665,ADAM,1,N,A
3302,0,0 days 03:07:16.572603771,ADAM,1,N,A
3640,0,0 days 03:07:16.572619914,CANT,1,N,A
1819,0,0 days 03:07:16.572633514,ADAM,1,N,A
4357,0,0 days 03:07:16.572647190,CDRG,1,N,A
2349,0,0 days 03:07:16.572661310,CDRG,1,N,A
7929,0,0 days 03:07:16.572674781,ETMM,1,N,A
8756,0,0 days 03:07:16.572688371,ADAM,1,N,A
1290,0,0 days 03:07:16.572702274,IMCC,1,N,A
5779,0,0 days 03:07:16.572716262,SOHO,1,N,A
503,0,0 days 03:07:16.572729720,XGWD,1,N,A
8486,0,0 days 03:07:16.572744139,VALX,1,N,A
2017,0,0 days 03:07:16.572757693,XGWD,1,N,A
6164,0,0 days 03:07:16.572772167,GTSM,1,N,A
3194,0,0 days 03:07:16.572786051,JSCA,1,N,A
992,0,0 days 03:07:16.572799305,MSCO,1,N,A
2743,0,0 days 03:07:16.572814938,RAJA,1,N,A
5475,0,0 days 03:07:16.572829101,RILY,1,N,A
4530,0,0 days 03:07:16.572845440,SBSH,1,N,A
2001,0,0 days 03:07:16.572859656,BKCM,1,N,A
7480,0,0 days 03:07:16.572873670,GSCO,1,N,A
8509,0,0 days 03:07:16.572887730,INTL,1,N,A
1714,0,0 days 03:07:16.572901637,LEHM,1,N,A
4345,0,0 days 03:07:16.572916890,LEHM,1,N,A
2912,0,0 days 03:07:16.572931327,SBSH,1,N,A
1489,0,0 days 03:07:16.572945266,STFL,1,N,A
5652,0,0 days 03:07:16.572959531,UBSS,1,N,A
4184,0,0 days 03:07:16.572988275,WABR,1,N,A
6854,0,0 days 03:07:16.573002449,WSEA,1,N,A
2562,0,0 days 03:07:16.573016229,WABR,1,N,A
4912,0,0 days 03:07:16.573029747,CDRG,1,N,A
3803,0,0 days 03:07:16.573044037,CTDL,1,N,A
8205,0,0 days 03:07:16.573059705,ETMM,1,N,A
2622,0,0 days 03:07:16.573073164,ADAM,1,N,A
8508,0,0 days 03:07:16.573088803,MAXM,1,N,A
