date,SPDR S&P 500 ETF TRUST_original,CITIGROUP INC_original,SPDR S&P 500 ETF TRUST_smoothed,CITIGROUP INC_smoothed,Estimated_SPDR S&P 500 ETF TRUST_original,Estimated_SPDR S&P 500 ETF TRUST_smoothed,spread_original,spread_smoothed,z_score,hedge_ratio,intercept,side
2017-03-01,209.386,51.8889,206.48496003971383,50.730533165120306,211.22163496269448,206.5955339480836,-1.8356349626944852,-0.11057390836978742,-0.09823525698031589,-3.9936407667363163,-3.9960085815904454,
2017-03-02,208.093,51.1215,206.80656803177106,50.808726532096244,208.08950777025046,206.84081526063395,0.003492229749535003,-0.034247228862871903,0.32297001675035025,-3.9923223602865576,-3.996000228861211,
2017-03-03,208.218,51.4357,207.08885442541686,50.934121225676996,209.17488722005425,207.17407097547397,-0.9568872200542606,-0.0852165500571167,0.19849960463812466,-3.9890369110631974,-3.995981373680967,
2017-03-06,207.566,50.8278,207.1842835403335,50.9128569805416,206.8127751946821,207.15217572642084,0.7532248053179065,0.03210781391266737,0.7316041018896153,-3.9902725158784107,-3.9960018121174055,
2017-03-07,206.926,51.0099,207.1326268322668,50.93226558443328,207.47506319154724,207.16537860704952,-0.5490631915472375,-0.03275177478271418,0.37575153511161663,-3.9890116031280236,-3.995980217147054,
2017-03-08,206.563,51.5267,207.01870146581342,51.05115246754662,209.12086929952022,207.22774064181115,-2.557869299520232,-0.20903917599772814,-0.4499642411416222,-3.9809451811101146,-3.995901236013677,
2017-03-09,206.81,51.8977,206.97696117265073,51.2204619740373,209.97507738808102,207.2871555913839,-3.1650773880810252,-0.3101944187331842,-0.8537991356847322,-3.968946948713073,-3.995859327854598,
2017-03-10,207.549,51.8458,207.09136893812058,51.34552957922984,209.30409343786306,207.3230331065326,-1.7550934378630672,-0.2316641684120242,-0.39053809480179075,-3.959978941550578,-3.995817230020137,
2017-03-13,207.663,51.8791,207.20569515049647,51.452243663383875,209.07341570963513,207.38605622022453,-1.4104157096351146,-0.18036106972806198,-0.0726409768805629,-3.9529915446190147,-3.9957720671907824,
2017-03-14,206.849,51.8067,207.13435612039717,51.5231349307071,208.4308284479861,207.3118484720011,-1.5818284479861187,-0.1774923516039233,-0.07630574003676709,-3.9461135984601654,-3.9957050866398514,
2017-03-15,208.667,51.2967,207.44088489631773,51.47784794456568,206.6224770355429,207.33802811613032,2.044522964457108,0.10285678018740141,1.3034120455104126,-3.9500921873723414,-3.9957831275600957,
2017-03-16,208.275,51.559,207.60770791705417,51.49407835565255,207.79566320191896,207.53904417938594,0.47933679808106433,0.06866373766824552,1.0636986428898438,-3.9527498896920514,-3.9958316392864646,
2017-03-17,207.892,50.9003,207.66456633364334,51.37532268452204,205.58392018277846,207.46522171103499,2.3080798172215284,0.19934462260833952,1.739466606774204,-3.9604456577678517,-3.996048068697473,
2017-03-20,207.654,50.2443,207.66245306691468,51.149118147617635,203.6979866090673,207.294283652523,3.9560133909327093,0.3681694143916858,2.317046249237996,-3.974607552826703,-3.99661234257657,1.0
2017-03-21,204.971,48.9394,207.12416245353174,50.70717451809411,199.5217561129592,206.58441201783097,5.449243887040806,0.5397504357007654,2.5385377788376395,-3.995224409324695,-3.99787065525422,
2017-03-22,205.472,48.7084,206.79372996282538,50.307419614475286,199.74824826786914,206.17437235564682,5.72375173213085,0.6193576071785434,2.3288612687680605,-4.018790032094985,-3.999415868573791,
2017-03-23,205.232,48.9464,206.4813839702603,50.03521569158023,201.6032098800922,205.9988950578105,3.62879011990778,0.4824889124497993,1.5629229507796423,-4.037125118337239,-4.000468987910391,
2017-03-24,205.089,48.963,206.20290717620824,49.820772553264185,202.35813654850014,205.8331106556092,2.730863451499851,0.36979652059903234,1.059314233156575,-4.051160291717579,-4.001175185132303,
2017-03-27,204.87,49.1832,205.9363257409666,49.69325804261135,203.65118960233033,205.72167150126867,1.2188103976696656,0.21465423969791608,0.46806020484033595,-4.059306443513904,-4.001508929697286,
2017-03-28,206.389,50.1005,206.0268605927733,49.774706434089076,207.3580293710927,206.03564240502737,-0.9690293710926765,-0.008781812254073706,-0.3265911401330783,-4.058972013053445,-4.0015020311085605,0.0
2017-03-29,206.563,50.076,206.13408847421863,49.83496514727126,207.16237621210496,206.18448543652676,-0.5993762121049571,-0.0503969623081133,-0.4925843423850742,-4.057051353808659,-4.001472618782529,
2017-03-30,207.213,51.0177,206.3498707793749,50.07151211781701,210.45106547072928,206.6221964092366,-3.2380654707292935,-0.27232562986172315,-1.2166442376860385,-4.046626609356803,-4.001483102546712,
2017-03-31,206.734,50.4402,206.4266966234999,50.14524969425361,207.78758998457678,206.59594547602333,-1.0535899845767878,-0.16924885252343724,-0.8285577571830174,-4.040153494799451,-4.0014396761935265,
2017-04-03,206.399,50.3198,206.42115729879993,50.18015975540288,207.09294522878335,206.5293548578111,-0.693945228783357,-0.10819755901116768,-0.5852129855716431,-4.036016784404172,-4.001387840922299,
2017-04-04,206.524,50.3198,206.44172583903995,50.208087804322304,206.9609091597434,206.51032990104065,-0.43690915974341227,-0.06860406200070646,-0.4407393346921536,-4.033393632354438,-4.0013482583945335,
2017-04-05,205.912,50.2443,206.33578067123196,50.21533024345784,206.52232339226805,206.4055542321986,-0.6103233922680351,-0.06977356096663012,-0.4773514801128957,-4.03072631623677,-4.001301141372912,
2017-04-06,206.495,50.4969,206.36762453698557,50.271644194766274,207.36537526526016,206.45821166554748,-0.8703752652601624,-0.09058712856191864,-0.613554199943512,-4.0272595805973666,-4.00125094979303,
2017-04-07,206.294,50.1103,206.35289962958845,50.23937535581302,205.8246014806699,206.34446306439008,0.46939851933011134,0.008436565198378432,-0.3049792234769158,-4.027582031021333,-4.001257631581597,
2017-04-10,206.409,49.983,206.36411970367075,50.18810028465041,205.4599318032384,206.28659720072056,0.9490681967615879,0.07752250295017493,-0.09471452948452375,-4.030542419242389,-4.001330062246082,
2017-04-11,206.169,49.7725,206.3250957629366,50.104980227720326,204.85512866121928,206.19683081414104,1.3138713387807144,0.12826494879557515,0.04522220789163857,-4.0354344140137455,-4.001469289720134,
2017-04-12,205.232,49.336,206.1064766103493,49.95118418217626,203.43692814446817,205.9237407392693,1.7950718555318348,0.18273587107998868,0.24871190448704114,-4.04238708804869,-4.001718768498018,
2017-04-13,203.93,48.9394,205.67118128827943,49.74882734574101,202.19744989909404,205.47547921007214,1.7325501009059705,0.1957020782072929,0.27514839818970843,-4.049812905662485,-4.00203618371543,
2017-04-17,205.75,49.7393,205.68694503062355,49.74692187659281,205.58029187873814,205.61118101412916,0.16970812126185741,0.07576401649438402,-0.1834788752521256,-4.052694243327409,-4.002117101603153,
2017-04-18,205.098,49.2595,205.56915602449885,49.64943750127425,203.8647176987959,205.44682605286064,1.2332823012040874,0.12232997163819714,0.055554873060015324,-4.0573382885582445,-4.00226227356107,
2017-04-19,204.723,48.6762,205.39992481959908,49.4547900010194,201.97474222955097,205.14136332533724,2.7482577704490403,0.25856149426183705,0.737494148952647,-4.0671227367937695,-4.002662468830099,
2017-04-20,206.409,49.2498,205.60173985567926,49.41379200081552,204.71516070105596,205.38349239283616,1.693839298944014,0.21824746284308194,0.7649017312876918,-4.0753920219074455,-4.002918700518662,
2017-04-21,205.758,48.6673,205.6329918845434,49.264493600652415,202.89279094448847,205.3333518139428,2.865209055511543,0.2996400706005895,1.3742677713852818,-4.08671637939204,-4.003338893702277,
2017-04-24,208.025,50.1191,206.11139350763472,49.43541488052193,208.87851180139802,206.08376690197275,-0.8535118013980219,0.027626605661956738,-0.1355784732028307,-4.087766165744281,-4.0033505638438465,
2017-04-25,209.203,50.7671,206.72971480610778,49.70175190441755,211.23125562933723,206.88257675902534,-2.0282556293372327,-0.15286195291757032,-1.176532884829482,-4.0819323640264,-4.003387111572588,
2017-04-26,209.06,50.6761,207.19577184488622,49.89662152353404,210.5385293692454,207.36169318240516,-1.478529369245381,-0.16592133751892568,-1.1655711303222782,-4.0755919281357516,-4.003425259845232,
2017-04-27,209.252,50.2101,207.60701747590898,49.95931721882723,208.6325798093143,207.6105251096734,0.6194201906857097,-0.003507633764420426,-0.17541364448218272,-4.075458031294438,-4.0034245122174275,
2017-04-28,208.782,49.981,207.8420139807272,49.963653775061786,207.83918143095303,207.7684389452878,0.9428185690469872,0.0735750354393856,0.21794599234688247,-4.078264055563173,-4.003465669850091,
2017-05-01,209.328,50.2708,208.13921118458174,50.02508302004943,209.1003826569177,208.09789632127365,0.2276173430823043,0.04131486330809153,-0.08223676406265745,-4.079841514598219,-4.0034858448535395,
