date,WALGREENS BOOTS ALLIANCE INC_original,SPDR GOLD SHARES_original,WALGREENS BOOTS ALLIANCE INC_smoothed,SPDR GOLD SHARES_smoothed,Estimated_WALGREENS BOOTS ALLIANCE INC_original,Estimated_WALGREENS BOOTS ALLIANCE INC_smoothed,spread_original,spread_smoothed,z_score,hedge_ratio,intercept,side
2017-06-19,65.9127,118.43,66.92021897767228,119.85958216292237,66.14079146560248,66.93152023965374,-0.2280914656024695,-0.011301261981452981,-0.5268291900109472,-0.5531188025141879,-0.6349316838471939,
2017-06-20,64.6634,118.18,66.46885518213782,119.5236657303379,65.75905791181955,66.49949710334516,-1.0956579118195573,-0.030641921207347433,-0.8378664057081435,-0.5510590728092858,-0.6348966872181587,
2017-06-21,64.5137,118.52,66.07782414571025,119.32293258427032,65.67173378261258,66.11233639507861,-1.1580337826125757,-0.03451224936836039,-0.6986700569841726,-0.5487417263884496,-0.6348643710535228,
2017-06-22,63.0703,118.92,65.47631931656821,119.24234606741625,65.36657638502393,65.54203911839424,-2.2962763850239334,-0.06571980182603832,-1.1552404413372805,-0.5443303055524393,-0.6348164487278505,
2017-06-23,63.0462,119.43,64.99029545325456,119.279876853933,65.13486919593338,65.05379278442196,-2.088669195933379,-0.06349733116739908,-1.007469751420619,-0.5400660300259199,-0.6347832299377546,
2017-06-26,64.0281,118.36,64.79785636260365,119.0959014831464,64.41870571132641,64.81528136182365,-0.39060571132641453,-0.01742499921999663,0.8636311665141801,-0.5388977459342074,-0.6347685025536256,
2017-06-27,63.8089,118.81,64.60006509008292,119.03872118651712,64.49765604143977,64.62059854312051,-0.6887560414397734,-0.020533453037585914,0.8651048643371235,-0.5375212657509046,-0.6347544575747927,
2017-06-28,63.6661,118.9,64.41327207206633,119.0109769492137,64.37521156128659,64.43470460540794,-0.7091115612865937,-0.02143253334161299,0.7146852062698064,-0.53608469635256,-0.6347411649672128,
2017-06-29,64.7213,118.32,64.47487765765307,118.87278155937096,64.16531527818536,64.46212498303134,0.5559847218146458,0.012752674621729798,1.395251281458074,-0.5369385063852927,-0.6347512026775207,
2017-06-30,64.6634,118.02,64.51258212612245,118.70222524749677,64.12965390538682,64.4966918346512,0.533746094613172,0.015890291471244877,1.096607545026435,-0.5380010936433753,-0.634764833595667,
2017-07-03,64.5224,116.09,64.51454570089797,118.17978019799742,63.35185515358735,64.48084846103906,1.1705448464126518,0.03369723985890816,1.4200866858351568,-0.5402450020981129,-0.6348128600174279,
2017-07-05,64.9433,116.52,64.60029656071838,117.84782415839793,63.846138251765645,64.56647357134182,1.0971617482343508,0.03382298937655481,0.9978428084726396,-0.5424930063369912,-0.6348531533794367,
2017-07-06,64.1854,116.47,64.5173172485747,117.57225932671834,63.907116012158994,64.5059176633517,0.27828398784100594,0.011399585223009101,-0.1460475270493419,-0.5432493394956848,-0.6348654410965877,
2017-07-07,63.9788,115.28,64.40961379885977,117.11380746137468,63.39381344076549,64.39214605224144,0.5849865592345111,0.017467746618325508,-0.3291747896756909,-0.5444042695341486,-0.634889248868842,
2017-07-10,63.7221,115.47,64.27211103908782,116.78504596909974,63.54883753630667,64.26534159362372,0.1732624636933241,0.0067694454640988555,-1.145716988086625,-0.5448509589421839,-0.6348973072526957,
2017-07-11,63.8282,115.62,64.18332883127026,116.55203677527979,63.670012704059474,64.17815178702662,0.15818729594052772,0.005177044243636741,-0.9988814201163224,-0.5451920958962273,-0.6349025765376706,
2017-07-12,64.0194,116.03,64.15054306501621,116.44762942022383,63.919381011367776,64.14716226555865,0.10001898863223013,0.003380799457560868,-0.8447841911131035,-0.5454147700341315,-0.6349052443074955,
2017-07-13,64.424,115.82,64.20523445201297,116.32210353617907,63.916277517727615,64.1906152394783,0.5077224822723952,0.014619212534664805,0.861426716220338,-0.546376796782512,-0.6349169143770691,
2017-07-14,65.1682,116.77,64.39782756161038,116.41168282894326,64.57577777163922,64.37957065107214,0.5924222283607703,0.018256910538243964,1.10877359011671,-0.547579453109766,-0.6349250320118616,
2017-07-17,65.3903,117.29,64.5963220492883,116.5873462631546,64.96785164174707,64.58244991318914,0.42244835825292615,0.01387213609917115,0.5855904987895797,-0.5484945263199202,-0.6349286496836255,
2017-07-18,64.9704,118.11,64.67113763943064,116.89187701052369,65.34752411400498,64.68011322143292,-0.37712411400499024,-0.008975582002283766,-1.6688790985377167,-0.5479010726650799,-0.6349284215323984,
2017-07-19,65.7051,118.08,64.87793011154452,117.12950160841895,65.39147238481945,64.87020722493202,0.31362761518054516,0.007722886612493096,-0.04261864795791834,-0.5484124586685211,-0.6349292652404922,
2017-07-20,65.904,118.24,65.08314408923562,117.35160128673516,65.56058722623432,65.07276694833037,0.34341277376567303,0.010377140905243443,0.11019300091319077,-0.5491006128444619,-0.6349307635051581,
2017-07-21,65.1605,119.26,65.0986152713885,117.73328102938812,65.95563276544553,65.11942321315591,-0.7951327654455265,-0.020807941767412297,-1.6058692964091787,-0.5477167497004845,-0.6349331961657436,
2017-07-24,65.7389,119.31,65.2266722171108,118.0486248235105,65.92431165949284,65.23405601499212,-0.1854116594928399,-0.007383797881314491,-0.47964466056819616,-0.5472246936250587,-0.6349334630870913,
2017-07-25,66.1183,118.92,65.40499777368865,118.22289985880839,65.77835846739293,65.39649259504448,0.3399415326070693,0.008505178644169331,0.8171344503027311,-0.5477919882439075,-0.6349352254274566,
2017-07-26,64.9781,119.88,65.31961821895092,118.55431988704672,66.07219591705065,65.3485650017981,-1.0940959170506481,-0.028946782847167896,-1.4208719343677008,-0.545856355678813,-0.6349359982745533,
2017-07-27,65.0611,119.79,65.26791457516073,118.80145590963737,65.82999172576716,65.29198196592748,-0.7688917257671637,-0.024067390766747465,-0.8068665023267434,-0.5442445765290347,-0.6349339033540975,
2017-07-28,65.7543,120.69,65.36519166012859,119.17916472770989,66.200664636692,65.37989227743421,-0.44636463669199333,-0.014700617305618557,-0.009858754504543888,-0.5432573453316788,-0.6349356286116832,
2017-07-31,66.6222,120.75,65.61659332810287,119.49333178216791,66.29260170981102,65.609289887569,0.32959829018898046,0.007303440533857897,1.096761978459306,-0.5437487894941874,-0.6349353783878964,
2017-08-01,67.0017,120.65,65.89361466248229,119.72466542573433,66.38037026350013,65.87613054383513,0.6213297364998706,0.01748411864715782,1.2016497844197478,-0.5449269201522474,-0.6349373471314724,
2017-08-02,66.9167,120.4,66.09823172998584,119.85973234058747,66.37688385482772,66.08188181980964,0.5398161451722816,0.01634991017620302,1.003969526758547,-0.5460294168613723,-0.6349420647185011,
